| policy_name                                                   | table_name            | permissive | command | roles           | using_expression                                                                                                                                            | with_check_expression                                                                                                                                       |
| ------------------------------------------------------------- | --------------------- | ---------- | ------- | --------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Solo dueño puede borrar operarios                             | aplicadores_operarios | PERMISSIVE | DELETE  | {public}        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   | null                                                                                                                                                        |
| Solo dueño puede insertar aplicadores/operarios               | aplicadores_operarios | PERMISSIVE | INSERT  | {public}        | null                                                                                                                                                        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   |
| Solo dueño puede insertar operarios                           | aplicadores_operarios | PERMISSIVE | INSERT  | {public}        | null                                                                                                                                                        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   |
| Solo dueño puede modificar o borrar sus aplicadores/operarios | aplicadores_operarios | PERMISSIVE | UPDATE  | {public}        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   | null                                                                                                                                                        |
| Solo dueño puede modificar operarios                          | aplicadores_operarios | PERMISSIVE | UPDATE  | {public}        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   | null                                                                                                                                                        |
| Solo dueño puede ver sus aplicadores/operarios                | aplicadores_operarios | PERMISSIVE | SELECT  | {public}        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   | null                                                                                                                                                        |
| Solo dueño puede ver sus operarios                            | aplicadores_operarios | PERMISSIVE | SELECT  | {public}        | (finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))                                                                   | null                                                                                                                                                        |
| Usuarios autenticados pueden insertar variedades por cuartel  | cuartel_variedades    | PERMISSIVE | INSERT  | {authenticated} | null                                                                                                                                                        | true                                                                                                                                                        |
| Usuarios autenticados pueden ver variedades por cuartel       | cuartel_variedades    | PERMISSIVE | SELECT  | {authenticated} | true                                                                                                                                                        | null                                                                                                                                                        |
| insert own cuartel                                            | cuarteles             | PERMISSIVE | INSERT  | {authenticated} | null                                                                                                                                                        | (EXISTS ( SELECT 1
   FROM fincas
  WHERE ((fincas.id = cuarteles.finca_id) AND (fincas.usuario_id = auth.uid()))))                                         |
| select own cuarteles                                          | cuarteles             | PERMISSIVE | SELECT  | {authenticated} | (EXISTS ( SELECT 1
   FROM fincas
  WHERE ((fincas.id = cuarteles.finca_id) AND (fincas.usuario_id = auth.uid()))))                                         | null                                                                                                                                                        |
